name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Isaiah Thomas","Boston Celtics",2016-11-02,2016,6472,1610612738,400899511,1,10,32,1,"Jump Shot","3PT Field Goal",23,"Chicago Bulls",230,56,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-27,2016,6472,1610612738,400900291,1,8,48,0,"Jump Shot","3PT Field Goal",25,"Atlanta Hawks",191,164,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-03,2016,6472,1610612738,400900156,3,9,05,1,"Jump Shot","3PT Field Goal",25,"Los Angeles Lakers",-35,249,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-11-16,2016,6472,1610612738,400899611,1,5,56,1,"Jump Shot","3PT Field Goal",25,"Dallas Mavericks",130,218,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-03-22,2016,6472,1610612738,400900455,4,6,16,0,"Jump Shot","3PT Field Goal",22,"Indiana Pacers",228,2,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-08,2016,6472,1610612738,400900198,3,4,53,0,"Jump Shot","3PT Field Goal",25,"Sacramento Kings",140,213,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-08,2016,6472,1610612738,400900198,4,3,44,0,"Jump Shot","3PT Field Goal",25,"Sacramento Kings",64,244,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-08,2016,6472,1610612738,400900198,1,9,12,0,"Jump Shot","3PT Field Goal",25,"Sacramento Kings",-86,237,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-08,2016,6472,1610612738,400900198,2,5,12,1,"Jump Shot","3PT Field Goal",24,"Sacramento Kings",207,136,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-08,2016,6472,1610612738,400900198,4,4,11,1,"Jump Shot","3PT Field Goal",24,"Sacramento Kings",-181,170,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-08,2016,6472,1610612738,400900198,2,2,20,0,"Jump Shot","3PT Field Goal",26,"Sacramento Kings",30,264,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-08,2016,6472,1610612738,400900198,3,11,41,0,"Jump Shot","3PT Field Goal",25,"Sacramento Kings",27,249,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-08,2016,6472,1610612738,400900198,1,4,51,1,"Jump Shot","3PT Field Goal",23,"Sacramento Kings",238,23,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-03-29,2016,6472,1610612738,400900508,4,4,48,0,"Jump Shot","3PT Field Goal",26,"Milwaukee Bucks",51,257,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-03,2016,6472,1610612738,400900156,3,11,18,0,"Jump Shot","3PT Field Goal",23,"Los Angeles Lakers",-230,16,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-01-13,2016,6472,1610612738,400900018,4,9,14,0,"Jump Shot","3PT Field Goal",24,"Atlanta Hawks",-35,239,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-11-03,2016,6472,1610612738,400899518,3,1,38,0,"Jump Shot","2PT Field Goal",18,"Cleveland Cavaliers",-1,183,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-11-03,2016,6472,1610612738,400899518,3,3,36,0,"Jump Shot","3PT Field Goal",27,"Cleveland Cavaliers",17,278,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-11-03,2016,6472,1610612738,400899518,2,3,17,0,"Jump Shot","2PT Field Goal",4,"Cleveland Cavaliers",-40,16,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-11-03,2016,6472,1610612738,400899518,4,5,42,0,"Jump Shot","3PT Field Goal",25,"Cleveland Cavaliers",212,139,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-11-03,2016,6472,1610612738,400899518,1,7,00,0,"Jump Shot","3PT Field Goal",25,"Cleveland Cavaliers",-76,239,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-11-03,2016,6472,1610612738,400899518,1,10,39,0,"Jump Shot","3PT Field Goal",24,"Cleveland Cavaliers",-192,154,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-11-03,2016,6472,1610612738,400899518,4,2,16,0,"Jump Shot","3PT Field Goal",24,"Cleveland Cavaliers",137,208,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-11-03,2016,6472,1610612738,400899518,2,6,12,0,"Jump Shot","3PT Field Goal",25,"Cleveland Cavaliers",-150,208,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-01-13,2016,6472,1610612738,400900018,1,5,52,1,"Jump Shot","3PT Field Goal",25,"Atlanta Hawks",189,169,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-20,2016,6472,1610612738,400899866,4,11,46,1,"Jump Shot","3PT Field Goal",24,"Memphis Grizzlies",46,242,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-20,2016,6472,1610612738,400899866,4,10,03,1,"Jump Shot","3PT Field Goal",24,"Memphis Grizzlies",-212,131,0,0.00,,0.00,0.00
